timestamp,open,high,low,close,volume,symbol,timeframe,sma_5,sma_10,ema_12,ema_26,rsi_14,macd_line,macd_signal,macd_hist,atr_14,bb_mid_20,bb_upper_20,bb_lower_20
2024-01-01,100,101,99,100,1000,DEMO,1D,,,,,,,,,,,,
2024-01-02,100,103,99,102,1100,DEMO,1D,,,,,,,,,,,,
2024-01-03,102,104,101,103,1200,DEMO,1D,,,,,,,,,,,,
2024-01-04,103,104,100,101,1300,DEMO,1D,,,,,,,,,,,,
2024-01-05,101,102,98,99,1400,DEMO,1D,101.0,,,,,,,,,,,
2024-01-06,99,101,97,100,1500,DEMO,1D,101.0,,,,,,,,,,,
2024-01-07,100,105,99,104,1600,DEMO,1D,101.4,,,,,,,,,,,
2024-01-08,104,106,103,105,1700,DEMO,1D,101.8,,,,,,,,,,,
2024-01-09,105,106,102,103,1800,DEMO,1D,102.2,,,,,,,,,,,
2024-01-10,103,104,100,101,1900,DEMO,1D,102.6,101.8,,,,,,,,,,
2024-01-11,101,103,100,102,2000,DEMO,1D,103.0,102.0,,,,,,,,,,
2024-01-12,102,107,101,106,2100,DEMO,1D,103.4,102.4,102.38761142586418,,,,,,,,,
2024-01-13,106,108,104,105,2200,DEMO,1D,103.4,102.6,102.78951736034662,,,,,,,,,
2024-01-14,105,106,102,103,2300,DEMO,1D,103.4,102.8,102.82189930490867,,53.89262217849318,,,,3.3104411825720867,,,
2024-01-15,103,104,101,102,2400,DEMO,1D,103.6,103.1,102.69545325799965,,50.65781555910964,,,,3.2882668123883665,,,
