timestamp,open,high,low,close,volume
2024-01-01,100,101,99,100,1000
2024-01-02,100,103,99,102,1100
2024-01-03,102,104,101,103,1200
2024-01-04,103,104,100,101,1300
2024-01-05,101,102,98,99,1400
2024-01-06,99,101,97,100,1500
2024-01-07,100,105,99,104,1600
2024-01-08,104,106,103,105,1700
2024-01-09,105,106,102,103,1800
2024-01-10,103,104,100,101,1900
2024-01-11,101,103,100,102,2000
2024-01-12,102,107,101,106,2100
2024-01-13,106,108,104,105,2200
2024-01-14,105,106,102,103,2300
2024-01-15,103,104,101,102,2400
